npm warn exec The following package was not found and will be installed: serve@14.2.6
 INFO  Accepting connections at http://localhost:3000
 HTTP  5/31/2026 8:42:42 AM ::1 GET /ride.html?id=900
 HTTP  5/31/2026 8:42:42 AM ::1 Returned 301 in 1 ms
 HTTP  5/31/2026 8:42:42 AM ::1 GET /ride
 HTTP  5/31/2026 8:42:42 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:42 AM ::1 GET /js/pwa.js
 HTTP  5/31/2026 8:42:42 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:43 AM ::1 GET /routes
 HTTP  5/31/2026 8:42:43 AM ::1 Returned 304 in 3 ms
 HTTP  5/31/2026 8:42:43 AM ::1 GET /css/main.css
 HTTP  5/31/2026 8:42:43 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:43 AM ::1 GET /js/main.js
 HTTP  5/31/2026 8:42:43 AM ::1 Returned 304 in 0 ms
 HTTP  5/31/2026 8:42:43 AM ::1 GET /js/pwa.js
 HTTP  5/31/2026 8:42:43 AM ::1 Returned 304 in 2 ms
 HTTP  5/31/2026 8:42:43 AM ::1 GET /api/user?action=route-data
 HTTP  5/31/2026 8:42:43 AM ::1 GET /api/user?user_id=1
 HTTP  5/31/2026 8:42:43 AM ::1 GET /header
 HTTP  5/31/2026 8:42:43 AM ::1 Returned 304 in 0 ms
 HTTP  5/31/2026 8:42:43 AM ::1 Returned 404 in 2 ms
 HTTP  5/31/2026 8:42:43 AM ::1 Returned 404 in 2 ms
 HTTP  5/31/2026 8:42:43 AM ::1 GET /api/user?action=route-data
 HTTP  5/31/2026 8:42:43 AM ::1 GET /routes.json
 HTTP  5/31/2026 8:42:43 AM ::1 Returned 404 in 4 ms
 HTTP  5/31/2026 8:42:43 AM ::1 Returned 304 in 3 ms
 HTTP  5/31/2026 8:42:43 AM ::1 GET /sw.js
 HTTP  5/31/2026 8:42:43 AM ::1 Returned 304 in 0 ms
 HTTP  5/31/2026 8:42:44 AM ::1 GET /sw.js
 HTTP  5/31/2026 8:42:44 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:45 AM ::1 GET /nav.html
 HTTP  5/31/2026 8:42:45 AM ::1 Returned 301 in 1 ms
 HTTP  5/31/2026 8:42:45 AM ::1 GET /nav
 HTTP  5/31/2026 8:42:45 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:45 AM ::1 GET /css/main.css
 HTTP  5/31/2026 8:42:45 AM ::1 GET /js/main.js
 HTTP  5/31/2026 8:42:45 AM ::1 GET /js/pwa.js
 HTTP  5/31/2026 8:42:45 AM ::1 Returned 304 in 3 ms
 HTTP  5/31/2026 8:42:45 AM ::1 Returned 304 in 3 ms
 HTTP  5/31/2026 8:42:45 AM ::1 Returned 304 in 3 ms
 HTTP  5/31/2026 8:42:45 AM ::1 GET /api/user?action=route-data
 HTTP  5/31/2026 8:42:45 AM ::1 Returned 404 in 3 ms
 HTTP  5/31/2026 8:42:47 AM ::1 GET /data/tko_tracks.json
 HTTP  5/31/2026 8:42:47 AM ::1 GET /CYCFACI.gdb_CYCTRACK_converted.geojson
 HTTP  5/31/2026 8:42:47 AM ::1 GET /CYCFACI.gdb_CYCRAMP_converted.geojson
 HTTP  5/31/2026 8:42:47 AM ::1 Returned 200 in 3 ms
 HTTP  5/31/2026 8:42:47 AM ::1 Returned 200 in 10 ms
 HTTP  5/31/2026 8:42:47 AM ::1 Returned 200 in 46 ms
 HTTP  5/31/2026 8:42:49 AM ::1 GET /CYCFACI.gdb_CYCPARKSPACE_converted.geojson
 HTTP  5/31/2026 8:42:49 AM ::1 Returned 200 in 2 ms
 HTTP  5/31/2026 8:42:49 AM ::1 GET /chat.html
 HTTP  5/31/2026 8:42:49 AM ::1 Returned 301 in 1 ms
 HTTP  5/31/2026 8:42:49 AM ::1 GET /chat
 HTTP  5/31/2026 8:42:49 AM ::1 Returned 304 in 5 ms
 HTTP  5/31/2026 8:42:49 AM ::1 GET /css/main.css
 HTTP  5/31/2026 8:42:49 AM ::1 GET /js/main.js
 HTTP  5/31/2026 8:42:49 AM ::1 GET /js/pwa.js
 HTTP  5/31/2026 8:42:49 AM ::1 Returned 304 in 2 ms
 HTTP  5/31/2026 8:42:49 AM ::1 Returned 304 in 2 ms
 HTTP  5/31/2026 8:42:49 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:49 AM ::1 GET /api/chat?action=conversations&user_id=1
 HTTP  5/31/2026 8:42:49 AM ::1 GET /api/user?action=route-data
 HTTP  5/31/2026 8:42:49 AM ::1 Returned 404 in 4 ms
 HTTP  5/31/2026 8:42:49 AM ::1 Returned 404 in 3 ms
 HTTP  5/31/2026 8:42:49 AM ::1 GET /header
 HTTP  5/31/2026 8:42:49 AM ::1 Returned 304 in 1 ms
 HTTP  5/31/2026 8:42:50 AM ::1 GET /sw.js
 HTTP  5/31/2026 8:42:50 AM ::1 Returned 304 in 0 ms
